course_id,course_type,year,enrollment_count,pre_score,post_score,pre_requirement,department
0001,classroom,2018,165,28.14,73,Beginner,Science
0002,classroom,2020,175,79.68,86,None,Science
0003,online,2016,257,57.24,80,NA,Mathematics
0004,online,2013,251,97.67,75,Beginner,Technology
0005,classroom,2019,165,39.75,76,Beginner,Science
0006,online,2014,246,50.1,76,Beginner,Math
0007,online,2021,241,87.83,84,Beginner,Science
0008,online,2018,261,76.48,88,None,Technology
0009,online,2019,261,83.97,87,None,Technology
0010,classroom,2016,180,83.53,79,Beginner,Engineering
0011,classroom,2022,180,9.84,74,Beginner,Engineering
0012,classroom,2011,170,71.47,85,Intermediate,Engineering
0013,online,2016,246,78.25,81,Beginner,Math
0014,online,2016,257,53.78,76,None,Math
0015,online,2011,257,56.05,70,None,Mathematics
0016,online,2013,256,-,86,None,Mathematics
0017,online,2016,256,80.58,87,NA,Mathematics
0018,online,2018,231,85.69,76,Intermediate,Science
0019,online,2016,246,59.69,65,Beginner,Mathematics
0020,classroom,2022,181,63.62,81,Beginner,Engineering
0021,classroom,2014,180,78.45,NA,None,Mathematics
0022,classroom,2014,180,91.4,76,None,Math
0023,online,2015,236,-,72,Intermediate,Mathematics
0024,online,2012,261,89.09,77,None,Technology
0025,online,2013,261,22.11,79,None,Technology
0026,online,2020,256,21.05,74,None,Math
0027,online,2014,251,-,80,None,Science
0028,online,2016,251,-,83,None,Science
0029,online,2019,246,38.34,67,Beginner,Math
0030,classroom,2022,185,21.34,70,None,Technology
0031,online,2017,257,27.44,74,None,Mathematics
0032,online,2013,261,-,96,None,Technology
0033,online,2015,251,59.97,82,Beginner,Technology
0034,online,2020,247,16.98,NA,Beginner,Math
0035,online,2021,231,4.66,65,Intermediate,Science
0036,online,2011,256,67.08,94,None,Math
0037,classroom,2019,155,67.34,86,Intermediate,Science
0038,classroom,2022,155,62.01,77,Intermediate,Science
0039,classroom,2016,165,42.83,70,Beginner,Science
0040,classroom,2012,160,3.92,66,Intermediate,Math
0041,classroom,2015,165,13.65,NA,Beginner,Science
0042,online,2015,251,45.95,75,None,Science
0043,classroom,2012,185,90.2,82,None,Technology
0044,online,2018,241,20.84,66,Beginner,Science
0045,online,2019,256,69.77,80,None,Math
0046,online,2016,261,97.51,91,None,Technology
0047,online,2020,251,38.22,63,Beginner,Technology
0048,online,2015,261,36.87,84,None,Technology
0049,classroom,2022,165,80.47,84,Beginner,Science
0050,online,2022,251,55.08,77,Beginner,Technology
0051,online,2019,256,23.72,76,None,Math
0052,online,2019,261,7.74,61,None,Technology
0053,online,2016,231,-,78,Intermediate,Science
0054,classroom,2018,161,55.15,83,Intermediate,Math
0055,online,2021,261,3.81,62,None,Technology
0056,online,2022,246,17.11,87,Beginner,Mathematics
0057,online,2022,261,84.52,90,None,Technology
0058,online,2014,231,36.21,67,Intermediate,Science
0059,online,2018,231,68.71,69,Intermediate,Science
0060,classroom,2013,180,89.19,79,Beginner,Engineering
0061,classroom,2015,155,60.52,76,Intermediate,Science
0062,online,2013,256,41.69,NA,None,Math
0063,online,2022,256,76.16,72,None,Mathematics
0064,classroom,2022,155,77.62,75,Intermediate,Science
0065,online,2013,251,27.69,84,None,Science
0066,online,2022,251,77.07,86,NA,Science
0067,online,2019,231,34.05,70,Intermediate,Science
0068,online,2018,266,77.7,81,None,Engineering
0069,classroom,2019,180,44.94,72,Beginner,Engineering
0070,online,2020,256,87.46,76,None,Math
0071,online,2021,251,74.23,78,Beginner,Technology
0072,online,2012,251,11.29,67,Beginner,Technology
0073,classroom,2014,180,23.66,60,Beginner,Engineering
0074,online,2022,261,56.69,71,None,Technology
0075,online,2018,237,76.73,69,Intermediate,Math
0076,online,2015,251,51.05,75,None,Science
0077,online,2019,261,7.98,66,None,Technology
0078,online,2019,251,75.03,86,Beginner,Technology
0079,online,2015,261,18.93,70,NA,Technology
0080,online,2014,261,93.66,82,None,Technology
0081,classroom,2014,170,-,80,Intermediate,Engineering
0082,online,2011,256,90.85,90,None,Mathematics
0083,online,2013,261,90.58,86,None,Technology
0084,online,2021,231,36.4,86,Intermediate,Science
0085,online,2016,261,-,80,None,Technology
0086,online,2014,261,10.24,69,None,Technology
0087,classroom,2014,175,95.23,87,Beginner,Technology
0088,online,2017,261,25.46,66,None,Technology
0089,online,2021,261,35.34,73,None,Technology
0090,online,2015,256,-,77,Beginner,Engineering
0091,online,2015,242,31.87,79,Beginner,Science
0092,online,2012,251,26.09,61,Beginner,Technology
0093,online,2022,246,78,95,Beginner,Math
0094,online,2019,256,39.1,82,None,Mathematics
0095,online,2020,261,29.21,NA,None,Technology
0096,online,2017,251,56.88,81,Beginner,Technology
0097,online,2019,255,96.56,87,None,Math
0098,online,2012,261,75.63,68,None,Technology
0099,online,2017,261,17.19,76,NA,Technology
0100,online,2015,251,64.62,81,None,Science
0101,online,2012,251,6.72,66,Beginner,Technology
0102,online,2016,261,-,80,None,Technology
0103,online,2015,251,11.57,54,Beginner,Technology
0104,online,2022,261,59.3,68,None,Technology
0105,online,2012,251,27.29,80,None,Science
0106,online,2018,261,17.73,80,None,Technology
0107,classroom,2017,180,24.15,62,Beginner,Engineering
0108,online,2018,256,15.73,61,None,Mathematics
0109,online,2014,261,47.81,NA,None,Technology
0110,online,2012,261,32.84,67,None,Technology
0111,classroom,2014,155,11.16,71,Intermediate,Science
0112,online,2021,261,7.18,64,None,Technology
0113,classroom,2015,155,58.69,67,Intermediate,Science
0114,online,2013,256,38.07,67,None,Math
0115,online,2021,256,73.97,79,None,Math
0116,online,2015,251,59.28,65,Beginner,Technology
0117,online,2018,257,36.29,68,None,Math
0118,online,2014,251,52.87,71,Beginner,Technology
0119,online,2011,245,4.16,68,Beginner,Math
0120,online,2021,231,40.25,NA,Intermediate,Science
0121,online,2019,242,80.84,68,Beginner,Science
0122,online,2011,261,77.28,81,None,Technology
0123,classroom,2019,160,78.65,76,Intermediate,Mathematics
0124,online,2011,261,35.64,82,None,Technology
0125,online,2014,261,-,NA,None,Technology
0126,online,2019,261,69.94,66,NA,Technology
0127,online,2018,246,98.31,105,Beginner,Math
0128,online,2012,248,3.95,66,Beginner,Math
0129,online,2020,261,43.98,73,None,Technology
0130,online,2016,251,50.72,79,Beginner,Technology
0131,online,2014,241,57.27,69,Intermediate,Technology
0132,online,2011,241,60.41,72,Beginner,Science
0133,online,2021,261,68.73,79,None,Technology
0134,online,2012,261,55.49,61,NA,Technology
0135,online,2020,261,13.79,NA,None,Technology
0136,online,2021,261,13.12,76,None,Technology
0137,online,2021,261,18.6,72,None,Technology
0138,online,2014,246,16.48,NA,Intermediate,Engineering
0139,online,2021,251,-,87,Beginner,Technology
0140,online,2013,242,76.42,80,Beginner,Science
0141,online,2015,251,39.4,71,Beginner,Technology
0142,online,2021,256,71.51,77,None,Mathematics
0143,online,2012,251,34.91,71,None,Science
0144,online,2017,261,16.82,74,NA,Technology
0145,online,2011,266,-,90,None,Engineering
0146,online,2012,241,54.95,NA,Beginner,Science
0147,online,2015,255,62.23,84,None,Mathematics
0148,online,2012,256,94.58,67,Beginner,Engineering
0149,online,2022,261,2.46,62,None,Technology
0150,online,2012,237,22.58,66,Intermediate,Mathematics
0151,online,2017,261,36.63,74,None,Technology
0152,classroom,2014,170,80.41,87,Intermediate,Engineering
0153,online,2019,256,28.36,57,None,Mathematics
0154,classroom,2021,170,99.57,88,Intermediate,Engineering
0155,online,2012,241,31.35,72,Intermediate,Technology
0156,online,2020,241,67.87,71,Beginner,Science
0157,online,2013,251,40.74,79,None,Science
0158,online,2021,241,97.19,98,Beginner,Science
0159,online,2015,251,86.67,87,Beginner,Technology
0160,classroom,2014,165,51.92,86,Intermediate,Technology
0161,online,2018,252,7.6,72,None,Science
0162,online,2018,261,51.09,77,None,Technology
0163,classroom,2014,185,6.58,79,None,Technology
0164,online,2012,251,84,80,None,Science
0165,online,2014,231,26.58,61,Intermediate,Science
0166,online,2022,261,61.94,73,None,Technology
0167,online,2017,261,14.29,NA,None,Technology
0168,online,2012,251,31.73,83,Beginner,Technology
0169,online,2016,251,1.02,63,None,Science
0170,classroom,2011,170,-,NA,Intermediate,Engineering
0171,online,2015,261,41,75,None,Technology
0172,online,2021,261,56.39,87,None,Technology
